Name,Tel_No,Email,Street,Municipality,Latitude,Longitude,Availability,Done
FEDERICO ROMAN TIRADOR SR. MEMORIAL DISTRICT HOSPITAL ANIMAL BITE TREATMENT CENTER (ABTC),033-531-8506,frtsmdh_06@yahoo.com/frstmdh2020@gmail.com,"BRGY. JIBOLO,",JANIUAY,10.95814156,122.5032556,Open 24 hours,
GOVERNOR NIEL D. TUPAS SR. DISTRICT HOSPITAL,(033) 338-1113,gndtsdh_2015@yahoo.com,SAN LUCAS,BAROTAC VIEJO,11.04511446,122.8485821,,
GUIMBAL PRIMARY CARE FACILITY ANIMAL BITE TREATMENT CENTER,327-01-98,guimbalruralhealthunit@gmail.com,"RIZAL ST.,",GUIMBAL,10.6631549,122.3236199,Open 9AM - 2PM  5 times a week,
ILOILO PROVINCIAL HOSPITAL ANIMAL BITE TREATMENT CENTER (ABTC),5197496/5297495,iph2022.official@gmail/iph_pototan@ymail.com,BRGY. RUMBANG,POTOTAN,10.92716832,122.6296814,Open 24 Hours,
JESUS M. COLMENARES DISTRICT HOSPITAL,3970-879,jmcolmenares15@gmail.com/jmcdh.phicsection@gmail.com,"SITIO MALBOG, BARANGAY TINGUI-AN",BALASAN,11.44876066,123.1076626,Open 24 Hours,
LEMERY RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER (ABTC),9099875734,rhulemery17@gmail.com,POB. SOUTH EAST ZONE,LEMERY,11.22542277,122.9288894,,
MAASIN RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER (ABTC),3332499/09687280600,maasinmunicipalhealthoffice@gmail.com,"ROXAS STREET, BRGY AGROCEL",MAASIN,10.89310096,122.4341549,,
MAL ANIMAL BITE CENTER,9073986335,jlantirabies@gmail.com,"49A FERIC BUILDING, ZAMORA ST. ILAUD POBLACION",BAROTAC NUEVO,n/a,,,
MAL ANIMAL BITE CENTER,09216539580/09399229603,jlantirabies@gmail.com,POTENTE ST. BRGY POBLACION,DINGLE,11.00071501,122.6685148,Open  9AM - 5PM 6 times a week,
MAL ANIMAL BITE CENTER,921653980,jlantirabies@gmail.com,SARA ROAD POBLACION ILAWOD,PASSI,11.10217538,122.6473041,Open  8AM - 4PM 6 times a week,
MIAGAO RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER (ABTC),(033) 5137751,miagaomho@gmail.com,BRGY GUIBONGAN,MIAGAO,10.6371493,122.2462428,Open  8AM - 5PM 5 times a week,
MINA MUNICIPAL PRIMARY HEALTH CARE FACILITY ANIMAL BITE TREATMENT CENTER (ABTC),9217665955,rhumina@yahoo.com,"PATARATA ST., MINA WEST",MINA,n/a,n/a,,
OTON RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER,338 3761,omoppmd@yahoo.com,"MABINI ST., POBLACION SOUTH",OTON,10.69188806,122.4773952,Open  8AM - 5PM 6 times a week,
PAVIA RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER (ABTC),501-1279,paviarhu@yahoo.com,"SUMKWEL ST.,",PAVIA,10.77413136,122.5407855,Open  8AM - 5PM 5 times a week,
RAMON D. DUREMDES DISTRICT HOSPITAL,3612229/3612429,ddh.dumangas@gmail.com,ILAYA 1ST,DUMANGAS,10.82827402,122.7124135,,
RAMON TABIANA MEMORIAL DISTRICT HOSPITAL ANIMAL BITE TREATMENT CENTER (ABTC),326-8487,hospital.cabatuan.iloilo@gmail.com,"BRGY. PUNGTOD,",CABATUAN,10.86972838,122.4962425,,
REP. PEDRO G. TRONO MEMORIAL HOSPITAL ANIMAL BITE TREATMENT CENTER (ABTC),3155551/3270188,rpgtmh@yahoo.com/rpgtmhphic@yahoo.com,GARRIEL ST.,GUIMBAL,10.66185737,122.3234163,Open 24 hours,
RV ABC ANIMAL BITE CENTER (ABC),9954144414,tinedistura1987@gmail.com,DEL ROSARIO ST. POBLACION NORTE,BALASAN,11.47468436,123.0879817,,
S.W.I.F.T INCORPORATED ANIMAL BITE CENTER (ABC),9212664334,operation.calvogroup@outlook.com,"G/F B&G CALVO BLDG, POBLACION CENTRO",CALINOG,11.12568766,122.5389759,Open 6AM - 5PM  SAT 7AM - 3PM,
S.W.I.F.T INCORPORATED ANIMAL BITE CENTER (ABC),9212664334,operation.calvogroup@outlook.com,"ZONE 1 POBLACION, BARANGAY 1",CABATUAN,10.87792201,122.4837919,Open 6AM - 4PM ,
S.W.I.F.T INCORPORATED ANIMAL BITE CENTER (ABC),9212664334,operation.calvogroup@outlook.com,JIBOLO,JANIUAY,10.95605066,122.5041547,Open 6AM - 3PM,
S.W.I.F.T INCORPORATED ANIMAL BITE CENTER (ABC),9212664334,operation.calvogroup@outlook.com,POBLACION ILAWOD,LAMBUNAO,11.06083541,122.4825529,Open 6AM - 4PM  SAT 7AM - 2PM,
SAN DIONISIO RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER (ABTC),9985990071,sandionisiorhu2018@gmail.com,POBLACION ,SAN DIONISIO,11.270945,123.0952406,,
SAN JOAQUIN PRIMARY CARE FACILITY ANIMAL BITE TREATMENT CENTER (ABTC),09178822034/0917582227,ohssnjoaquin@yahoo.com/snjoaquinhlth@gmail.com,"RIZAL STREET, PUROK 3, POBLACION",SAN JOAQUIN,,,,
SARA DISTRICT HOSPITAL,(033) 3270-288,sdh_sara@yahoo.com,"BRGY. ANORING,",SARA,11.26343988,123.0253055,,
SAVELIFE'S ANIMAL BITE CENTER ( ABC),09059108635/09095568518,ibnosheh@gmail.com,"RODMEL BUILDING, MABINI STREET, POB WEST",OTON,10.69252413,122.4773492,,
SAVELIFE'S ANIMAL BITE CENTER ( ABC),09059108635/09095568518,ibnosheh@gmail.com,BANGGA DAMA BOLONG OESTE,STA. BARBARA,10.8215019,122.5297847,,
STA. BARBARA RURAL HEALTH ANIMAL BITE TREATMENT CENTER (ABTC),033-523-9098/503-9042,mhcsb2018@gmail.com,"GEN. MARTIN TEOFILO DELGADO ST.,",STA. BARBARA,10.8214496,122.5297749,,
WESTERN VISAYAS SANITARIUM GENERAL HOSPITAL ANIMAL BITE TREATMENT CENTER (ABTC,(033) 3324586,wvsanitarium@gmail.com,INANGAYAN,STA. BARBARA,10.81356661,122.5269757,,
ZARRAGA RURAL HEALTH UNIT ANIMAL BITE TREATMENT CENTER (ABTC),3330474,zarragarhu2017@gmail.com,ZAMORA ST. POBLACION ILAYA,ZARRAGA,10.82191196,122.6088194,,
,,,,,,,,
,,,,,,,,
HEALTHWAY QUALIMED HOSPITAL ILOILO ANIMAL BITE CENTER (ABC),(033)500-4000,qualimed.ilo@healthway.com.ph,"DON DONATO PISON AVE. SAN RAFAEL, MANDURRIAO",ZARRAGA,10.70715242,122.5476144,,
ILOILO PROVINCIAL HEALTH OFFICE ANIMAL BITE TREATMENT CENTER (ABTC),320-7908,iloiloprovincialhealthoffice@gmail.com,"ILOILO PROVINCIAL CAPITOL, 2ND FLR, PHO, MUELLE ST",ZARRAGA,10.70262831,122.5691187,,
LAPAZ DISTRICT HEALTH CENTER ANIMAL BITE TREATMENT CENTER (ABTC),325-0954,lapazdistricthealthcenter_iloilo@yahoo.com,"BURGOS STREET, BARANGAY BURGOS-MABINI",ZARRAGA,n/a,n/a,,
LYSSA ANIMAL BITE CENTER (ABC),09171876733/033-332-2522,lyssa.aba2024@gmai.lcom,RM.201- 2ND F.THE CROWN BLDG.Q ABETO ST MANDURRIAO,ZARRAGA,10.71847969,122.5409048,,
MEDICUS DIAGNOSTIC CENTER AND MEDICAL CLINICS ANIMAL BITE TREATMENT CENTER (ABC),5010803/09686347674,appointments@medicusclinic.com.ph,"G/F LOLITA BLDG., GENERAL LUNA ST. CITY PROPER",ZARRAGA,10.70106416,122.5660145,,
SAVELIFE'S ANIMAL BITE CENTER (ABC),9055202292,aubygracetrapsi@gmail.com,17 GF ZERRUDO COMMERCIAL COMPLEX E LOPEZ ST JARO,ZARRAGA,10.71593086,122.561948,,
SHOT ANIMAL BITE CENTER (ABC),9062582828,shotbite168@gmail.com,"44 Q. ABETO ST., MANDURRIAO",ZARRAGA,10.71794601,122.5419573,,
STO. ROSARIO DISTRICT HEALTH CENTER ANIMAL BITE TREATMENT CENTER (ABTC),315-2253,storosariohc@gmail.com/doc_mailab@yahoo.com,"DURAN STREET, BRGY. STO. ROSARIO",ZARRAGA,10.68945661,122.5778004,,
WESTERN VISAYAS MEDICAL CENTER ANIMAL BITE TREATMENT CENTER (ABTC),330-7700/339-7070,wvmciloilo@gmail.com,"WVMC, Q. ABETO ST., MANDURRIAO,",ZARRAGA,10.72027181,122.5416863,,
